ID,Context,FixFreq,BlockFreq
6171,( None|IfStatement|IfStatement|ForStatement|ReturnStatement ),0,6
6172,( IfStatement|ForStatement|IfStatement|IfStatement|Assignment ),0,1
6173,( IfStatement|IfStatement|Assignment|ForStatement|MethodInvocation ),0,1
6174,( None|IfStatement|IfStatement|ForStatement|Assignment ),0,2
6175,( MethodInvocation|Assignment|WhileStatement|IfStatement|IfStatement ),0,2
6176,( None|Assignment|MethodInvocation|IfStatement|WhileStatement ),1,8
6177,( WhileStatement|MethodInvocation|IfStatement|Assignment|Assignment ),0,1
6178,( None|MethodInvocation|WhileStatement|Assignment|IfStatement ),0,2
6179,( IfStatement|WhileStatement|Assignment|MethodInvocation|IfStatement ),0,1
6180,( None|WhileStatement|IfStatement|MethodInvocation|Assignment ),0,1
6181,( Assignment|IfStatement|IfStatement|WhileStatement|MethodInvocation ),0,1
6182,( None|IfStatement|Assignment|WhileStatement|IfStatement ),0,1
6183,( MethodInvocation|IfStatement|IfStatement|Assignment|IfStatement ),0,7
6184,( IfStatement|IfStatement|IfStatement|MethodInvocation|ReturnStatement ),9,67
6185,( Assignment|IfStatement|Assignment|IfStatement|ForStatement ),2,3
6186,( IfStatement|Assignment|IfStatement|IfStatement|MethodInvocation ),1,6
6187,( IfStatement|IfStatement|IfStatement|Assignment|ForStatement ),0,1
6188,( IfStatement|IfStatement|ForStatement|IfStatement|IfStatement ),0,4
6189,( IfStatement|ForStatement|ForStatement|IfStatement|ReturnStatement ),0,1
6190,( None|ForStatement|IfStatement|IfStatement|ForStatement ),0,2
6191,( IfStatement|VariableDeclarationStatement|IfStatement|ForStatement|VariableDeclarationStatement ),0,1
6192,( IfStatement|Assignment|ForStatement|Assignment|Assignment ),2,6
6193,( Assignment|Assignment|IfStatement|Assignment|ForStatement ),0,3
6194,( None|Assignment|IfStatement|Assignment|ForStatement ),0,6
6195,( ForStatement|IfStatement|Assignment|Assignment|Assignment ),0,3
6196,( None|IfStatement|ForStatement|Assignment|Assignment ),0,8
6197,( ForStatement|Assignment|Assignment|Assignment|Assignment ),3,9
6198,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|Assignment|TryStatement ),1,1
6199,( MethodInvocation|VariableDeclarationStatement|TryStatement|MethodInvocation|VariableDeclarationStatement ),1,1
6200,( MethodInvocation|Assignment|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),1,14
6201,( TryStatement|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),1,4
6202,( None|MethodInvocation|TryStatement|VariableDeclarationStatement|VariableDeclarationStatement ),0,11
6203,( VariableDeclarationStatement|TryStatement|MethodInvocation|MethodInvocation|MethodInvocation ),3,11
6204,( None|TryStatement|VariableDeclarationStatement|MethodInvocation|MethodInvocation ),0,12
6205,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|TryStatement|MethodInvocation ),1,19
6206,( None|VariableDeclarationStatement|MethodInvocation|TryStatement|MethodInvocation ),0,37
6207,( VariableDeclarationStatement|IfStatement|IfStatement|IfStatement|None ),159,147
6208,( Assignment|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement ),4,21
6209,( VariableDeclarationStatement|MethodInvocation|Assignment|None|VariableDeclarationStatement ),3,3
6210,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|Assignment|MethodInvocation ),2,34
6211,( MethodInvocation|VariableDeclarationStatement|Assignment|VariableDeclarationStatement|TryStatement ),0,2
6212,( Assignment|MethodInvocation|TryStatement|VariableDeclarationStatement|MethodInvocation ),0,2
6213,( None|MethodInvocation|Assignment|VariableDeclarationStatement|TryStatement ),0,3
6214,( TryStatement|Assignment|MethodInvocation|MethodInvocation|None ),0,2
6215,( None|Assignment|TryStatement|MethodInvocation|MethodInvocation ),2,8
6216,( ForStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|MethodInvocation ),6,6
6217,( VariableDeclarationStatement|IfStatement|MethodInvocation|VariableDeclarationStatement|EnhancedForStatement ),4,10
6218,( MethodInvocation|VariableDeclarationStatement|EnhancedForStatement|IfStatement|None ),1,3
6219,( None|VariableDeclarationStatement|MethodInvocation|IfStatement|EnhancedForStatement ),0,16
6220,( Assignment|IfStatement|Assignment|MethodInvocation|ForStatement ),0,2
6221,( IfStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|MethodInvocation ),16,51
6222,( IfStatement|VariableDeclarationStatement|IfStatement|Assignment|VariableDeclarationStatement ),1,19
6223,( IfStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|Assignment ),3,22
6224,( VariableDeclarationStatement|IfStatement|Assignment|IfStatement|IfStatement ),3,14
6225,( IfStatement|Assignment|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),4,19
6226,( IfStatement|Assignment|Assignment|VariableDeclarationStatement|IfStatement ),9,22
6227,( Assignment|IfStatement|IfStatement|Assignment|MethodInvocation ),0,6
6228,( MethodInvocation|IfStatement|Assignment|Assignment|ReturnStatement ),0,4
6229,( Assignment|MethodInvocation|ReturnStatement|IfStatement|None ),0,11
6230,( None|MethodInvocation|Assignment|IfStatement|ReturnStatement ),0,11
6231,( Assignment|VariableDeclarationStatement|IfStatement|None|IfStatement ),8,20
6232,( MethodInvocation|IfStatement|IfStatement|IfStatement|ReturnStatement ),0,8
6233,( MethodInvocation|IfStatement|IfStatement|Assignment|Assignment ),0,4
6234,( IfStatement|MethodInvocation|Assignment|IfStatement|ReturnStatement ),0,4
6235,( Assignment|IfStatement|ReturnStatement|MethodInvocation|None ),0,5
6236,( None|IfStatement|Assignment|MethodInvocation|ReturnStatement ),0,5
6237,( MethodInvocation|VariableDeclarationStatement|Assignment|None|IfStatement ),5,10
6238,( Assignment|MethodInvocation|IfStatement|VariableDeclarationStatement|MethodInvocation ),0,5
6239,( IfStatement|Assignment|MethodInvocation|MethodInvocation|Assignment ),1,6
6240,( IfStatement|IfStatement|MethodInvocation|Assignment|PostfixExpression ),0,2
6241,( MethodInvocation|IfStatement|PostfixExpression|IfStatement|Assignment ),0,2
6242,( None|IfStatement|MethodInvocation|IfStatement|PostfixExpression ),0,3
6243,( PostfixExpression|MethodInvocation|Assignment|IfStatement|ReturnStatement ),0,2
6244,( Assignment|PostfixExpression|ReturnStatement|MethodInvocation|None ),0,2
6245,( None|PostfixExpression|Assignment|MethodInvocation|ReturnStatement ),0,2
6246,( ReturnStatement|Assignment|None|PostfixExpression|None ),2,4
6247,( None|Assignment|ReturnStatement|PostfixExpression|None ),2,4
6248,( Assignment|Assignment|IfStatement|None|ReturnStatement ),0,1
6249,( IfStatement|IfStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),77,167
6250,( IfStatement|IfStatement|MethodInvocation|IfStatement|ReturnStatement ),3,48
6251,( Assignment|MethodInvocation|Assignment|IfStatement|ReturnStatement ),1,4
6252,( Assignment|Assignment|ReturnStatement|MethodInvocation|None ),4,15
6253,( None|Assignment|Assignment|MethodInvocation|ReturnStatement ),0,15
6254,( IfStatement|Assignment|IfStatement|VariableDeclarationStatement|WhileStatement ),0,2
6255,( IfStatement|IfStatement|WhileStatement|Assignment|IfStatement ),0,2
6256,( None|IfStatement|IfStatement|Assignment|WhileStatement ),0,2
6257,( WhileStatement|IfStatement|IfStatement|IfStatement|Assignment ),0,2
6258,( IfStatement|WhileStatement|Assignment|IfStatement|ReturnStatement ),0,2
6259,( None|WhileStatement|IfStatement|IfStatement|Assignment ),0,3
6260,( Assignment|IfStatement|ReturnStatement|WhileStatement|None ),0,3
6261,( None|IfStatement|Assignment|WhileStatement|ReturnStatement ),0,3
6262,( IfStatement|Assignment|MethodInvocation|None|IfStatement ),2,7
6263,( IfStatement|IfStatement|VariableDeclarationStatement|Assignment|WhileStatement ),0,1
6264,( VariableDeclarationStatement|IfStatement|WhileStatement|IfStatement|MethodInvocation ),0,3
6265,( WhileStatement|VariableDeclarationStatement|MethodInvocation|IfStatement|ReturnStatement ),1,3
6266,( None|VariableDeclarationStatement|WhileStatement|IfStatement|MethodInvocation ),3,22
6267,( IfStatement|Assignment|Assignment|VariableDeclarationStatement|ReturnStatement ),0,1
6268,( Assignment|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|DoStatement ),0,1
6269,( IfStatement|Assignment|DoStatement|VariableDeclarationStatement|Assignment ),0,1
6270,( None|Assignment|IfStatement|VariableDeclarationStatement|DoStatement ),0,1
6271,( DoStatement|IfStatement|Assignment|Assignment|ReturnStatement ),0,1
6272,( None|IfStatement|DoStatement|Assignment|Assignment ),0,1
6273,( Assignment|DoStatement|ReturnStatement|IfStatement|None ),2,2
6274,( None|DoStatement|Assignment|IfStatement|ReturnStatement ),0,2
6275,( Assignment|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),5,21
6276,( IfStatement|Assignment|MethodInvocation|VariableDeclarationStatement|Assignment ),1,8
6277,( VariableDeclarationStatement|MethodInvocation|WhileStatement|None|ReturnStatement ),0,1
6278,( IfStatement|Assignment|VariableDeclarationStatement|None|WhileStatement ),0,1
6279,( VariableDeclarationStatement|IfStatement|WhileStatement|Assignment|Assignment ),0,1
6280,( None|IfStatement|VariableDeclarationStatement|Assignment|WhileStatement ),0,1
6281,( WhileStatement|VariableDeclarationStatement|Assignment|IfStatement|IfStatement ),0,1
6282,( None|VariableDeclarationStatement|WhileStatement|IfStatement|Assignment ),0,2
6283,( Assignment|WhileStatement|IfStatement|VariableDeclarationStatement|None ),1,2
6284,( IfStatement|Assignment|None|WhileStatement|None ),0,2
6285,( None|Assignment|IfStatement|WhileStatement|None ),0,2
6286,( Assignment|IfStatement|IfStatement|None|VariableDeclarationStatement ),0,14
6287,( IfStatement|VariableDeclarationStatement|IfStatement|IfStatement|WhileStatement ),1,2
6288,( IfStatement|IfStatement|WhileStatement|VariableDeclarationStatement|ReturnStatement ),0,3
6289,( WhileStatement|IfStatement|ReturnStatement|IfStatement|None ),0,3
6290,( None|IfStatement|WhileStatement|IfStatement|ReturnStatement ),0,3
6291,( IfStatement|MethodInvocation|Assignment|None|VariableDeclarationStatement ),0,3
6292,( VariableDeclarationStatement|Assignment|IfStatement|IfStatement|MethodInvocation ),1,17
6293,( MethodInvocation|IfStatement|Assignment|IfStatement|ReturnStatement ),0,1
6294,( Assignment|IfStatement|Assignment|Assignment|ReturnStatement ),0,4
6295,( IfStatement|VariableDeclarationStatement|Assignment|VariableDeclarationStatement|DoStatement ),0,1
6296,( Assignment|IfStatement|DoStatement|VariableDeclarationStatement|IfStatement ),0,1
6297,( None|IfStatement|Assignment|VariableDeclarationStatement|DoStatement ),0,1
6298,( DoStatement|Assignment|IfStatement|IfStatement|Assignment ),0,1
6299,( None|Assignment|DoStatement|IfStatement|IfStatement ),0,1
6300,( IfStatement|DoStatement|Assignment|Assignment|IfStatement ),0,1
6301,( None|DoStatement|IfStatement|Assignment|Assignment ),0,1
6302,( Assignment|IfStatement|IfStatement|DoStatement|ReturnStatement ),0,1
6303,( None|IfStatement|Assignment|DoStatement|IfStatement ),0,1
6304,( IfStatement|Assignment|VariableDeclarationStatement|VariableDeclarationStatement|DoStatement ),0,1
6305,( VariableDeclarationStatement|IfStatement|DoStatement|Assignment|Assignment ),0,1
6306,( None|IfStatement|VariableDeclarationStatement|Assignment|DoStatement ),0,4
6307,( DoStatement|VariableDeclarationStatement|Assignment|IfStatement|ReturnStatement ),0,1
6308,( None|VariableDeclarationStatement|DoStatement|IfStatement|Assignment ),0,1
6309,( TryStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement ),2,19
6310,( IfStatement|TryStatement|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement ),3,13
6311,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|TryStatement|ForStatement ),0,1
6312,( None|IfStatement|VariableDeclarationStatement|TryStatement|VariableDeclarationStatement ),1,14
6313,( None|MethodInvocation|BreakStatement|None|None ),6,29
6314,( IfStatement|TryStatement|Assignment|VariableDeclarationStatement|IfStatement ),1,3
6315,( None|IfStatement|Assignment|TryStatement|IfStatement ),2,3
6316,( Assignment|IfStatement|IfStatement|TryStatement|None ),0,2
6317,( Assignment|Assignment|MethodInvocation|None|ReturnStatement ),0,3
6318,( MethodInvocation|Assignment|ReturnStatement|Assignment|None ),2,10
6319,( None|Assignment|MethodInvocation|Assignment|ReturnStatement ),0,10
6320,( Assignment|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|None ),14,35
6321,( Assignment|Assignment|IfStatement|SuperConstructorInvocation|Assignment ),0,2
6322,( ForStatement|MethodInvocation|MethodInvocation|None|None ),12,8
6323,( Assignment|MethodInvocation|MethodInvocation|Assignment|ReturnStatement ),1,2
6324,( MethodInvocation|VariableDeclarationStatement|Assignment|Assignment|VariableDeclarationStatement ),0,3
6325,( Assignment|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),0,8
6326,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|Assignment|ReturnStatement ),0,4
6327,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|SuperMethodInvocation ),0,1
6328,( VariableDeclarationStatement|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement|IfStatement ),0,2
6329,( None|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|SuperMethodInvocation ),0,2
6330,( SuperMethodInvocation|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|IfStatement ),0,2
6331,( None|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement|IfStatement ),0,3
6332,( IfStatement|SuperMethodInvocation|IfStatement|VariableDeclarationStatement|IfStatement ),0,2
6333,( None|SuperMethodInvocation|IfStatement|VariableDeclarationStatement|IfStatement ),0,2
6334,( IfStatement|MethodInvocation|MethodInvocation|IfStatement|ReturnStatement ),0,15
6335,( Assignment|Assignment|MethodInvocation|Assignment|ReturnStatement ),0,3
6336,( VariableDeclarationStatement|IfStatement|MethodInvocation|Assignment|Assignment ),1,4
6337,( VariableDeclarationStatement|IfStatement|MethodInvocation|ForStatement|VariableDeclarationStatement ),4,4
6338,( IfStatement|ForStatement|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),1,8
6339,( None|IfStatement|VariableDeclarationStatement|ForStatement|MethodInvocation ),1,11
6340,( MethodInvocation|VariableDeclarationStatement|Assignment|IfStatement|None ),5,17
6341,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|MethodInvocation|ReturnStatement ),12,37
6342,( Assignment|VariableDeclarationStatement|MethodInvocation|IfStatement|Assignment ),2,4
6343,( Assignment|MethodInvocation|ForStatement|Assignment|ReturnStatement ),0,1
6344,( ForStatement|Assignment|ReturnStatement|MethodInvocation|None ),0,1
6345,( None|Assignment|ForStatement|MethodInvocation|ReturnStatement ),0,1
6346,( Assignment|SwitchStatement|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),2,1
6347,( VariableDeclarationStatement|VariableDeclarationStatement|SwitchStatement|IfStatement|Assignment ),0,1
6348,( SwitchStatement|VariableDeclarationStatement|Assignment|VariableDeclarationStatement|MethodInvocation ),0,1
6349,( None|VariableDeclarationStatement|SwitchStatement|VariableDeclarationStatement|Assignment ),0,1
6350,( None|SwitchStatement|Assignment|VariableDeclarationStatement|MethodInvocation ),0,1
6351,( MethodInvocation|Assignment|ReturnStatement|SwitchStatement|None ),0,1
6352,( None|Assignment|MethodInvocation|SwitchStatement|ReturnStatement ),0,1
6353,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|Assignment|Assignment ),1,6
6354,( SuperMethodInvocation|SwitchStatement|Assignment|VariableDeclarationStatement|None ),1,1
6355,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|SwitchStatement ),2,9
6356,( VariableDeclarationStatement|VariableDeclarationStatement|SwitchStatement|None|SuperMethodInvocation ),0,1
6357,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|SwitchStatement ),2,9
6358,( SwitchStatement|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement|Assignment ),0,1
6359,( None|VariableDeclarationStatement|SwitchStatement|VariableDeclarationStatement|SuperMethodInvocation ),0,1
6360,( None|SwitchStatement|SuperMethodInvocation|VariableDeclarationStatement|Assignment ),0,1
6361,( Assignment|SuperMethodInvocation|None|SwitchStatement|None ),0,1
6362,( None|SuperMethodInvocation|Assignment|SwitchStatement|None ),0,1
6363,( Assignment|VariableDeclarationStatement|MethodInvocation|MethodInvocation|Assignment ),2,7
6364,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|VariableDeclarationStatement|Assignment ),12,23
6365,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|SuperMethodInvocation ),0,3
6366,( VariableDeclarationStatement|VariableDeclarationStatement|SuperMethodInvocation|None|IfStatement ),0,1
6367,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|SuperMethodInvocation ),0,3
6368,( SuperMethodInvocation|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|Assignment ),0,1
6369,( IfStatement|SuperMethodInvocation|Assignment|VariableDeclarationStatement|VariableDeclarationStatement ),0,1
6370,( None|SuperMethodInvocation|IfStatement|VariableDeclarationStatement|Assignment ),0,1
6371,( Assignment|IfStatement|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement ),0,1
6372,( None|IfStatement|Assignment|SuperMethodInvocation|VariableDeclarationStatement ),0,2
6373,( MethodInvocation|VariableDeclarationStatement|Assignment|MethodInvocation|MethodInvocation ),7,28
6374,( Assignment|MethodInvocation|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),5,30
6375,( MethodInvocation|Assignment|MethodInvocation|MethodInvocation|MethodInvocation ),10,60
6376,( MethodInvocation|MethodInvocation|MethodInvocation|Assignment|ReturnStatement ),2,10
6377,( VariableDeclarationStatement|VariableDeclarationStatement|Assignment|IfStatement|MethodInvocation ),2,32
6378,( VariableDeclarationStatement|MethodInvocation|Assignment|Assignment|MethodInvocation ),7,27
6379,( MethodInvocation|Assignment|Assignment|VariableDeclarationStatement|MethodInvocation ),5,24
6380,( IfStatement|Assignment|Assignment|None|None ),9,21
6381,( VariableDeclarationStatement|MethodInvocation|Assignment|VariableDeclarationStatement|None ),0,4
6382,( Assignment|VariableDeclarationStatement|None|MethodInvocation|None ),0,17
6383,( None|VariableDeclarationStatement|Assignment|MethodInvocation|None ),1,17
6384,( IfStatement|IfStatement|Assignment|ForStatement|VariableDeclarationStatement ),2,1
6385,( IfStatement|ForStatement|IfStatement|VariableDeclarationStatement|Assignment ),0,1
6386,( IfStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|IfStatement ),12,67
6387,( IfStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|LabeledStatement ),0,1
6388,( IfStatement|IfStatement|LabeledStatement|VariableDeclarationStatement|None ),0,1
6389,( None|IfStatement|IfStatement|VariableDeclarationStatement|LabeledStatement ),0,1
6390,( LabeledStatement|IfStatement|None|IfStatement|None ),0,1
6391,( None|IfStatement|LabeledStatement|IfStatement|None ),0,1
6392,( None|LabeledStatement|None|IfStatement|None ),0,1
6393,( VariableDeclarationStatement|VariableDeclarationStatement|SynchronizedStatement|None|ReturnStatement ),4,4
6394,( IfStatement|MethodInvocation|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),3,7
6395,( MethodInvocation|VariableDeclarationStatement|IfStatement|IfStatement|MethodInvocation ),3,21
6396,( VariableDeclarationStatement|MethodInvocation|IfStatement|MethodInvocation|TryStatement ),0,2
6397,( VariableDeclarationStatement|Assignment|IfStatement|Assignment|VariableDeclarationStatement ),5,21
6398,( VariableDeclarationStatement|VariableDeclarationStatement|Assignment|MethodInvocation|MethodInvocation ),3,8
6399,( Assignment|IfStatement|Assignment|ForStatement|IfStatement ),1,1
6400,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|IfStatement|Assignment ),6,44
6401,( IfStatement|Assignment|Assignment|Assignment|BreakStatement ),0,1
6402,( Assignment|IfStatement|BreakStatement|Assignment|None ),0,1
6403,( None|IfStatement|Assignment|Assignment|BreakStatement ),0,1
6404,( BreakStatement|Assignment|None|IfStatement|None ),0,39
6405,( None|Assignment|BreakStatement|IfStatement|None ),1,40
6406,( VariableDeclarationStatement|Assignment|IfStatement|VariableDeclarationStatement|None ),8,14
6407,( IfStatement|VariableDeclarationStatement|Assignment|IfStatement|ReturnStatement ),2,11
6408,( MethodInvocation|Assignment|VariableDeclarationStatement|Assignment|IfStatement ),1,22
6409,( Assignment|VariableDeclarationStatement|Assignment|IfStatement|MethodInvocation ),0,13
6410,( VariableDeclarationStatement|MethodInvocation|IfStatement|Assignment|ForStatement ),0,1
6411,( VariableDeclarationStatement|Assignment|IfStatement|VariableDeclarationStatement|ForStatement ),0,2
6412,( IfStatement|VariableDeclarationStatement|ForStatement|Assignment|MethodInvocation ),0,1
6413,( MethodInvocation|ForStatement|MethodInvocation|IfStatement|Assignment ),0,1
6414,( SuperMethodInvocation|None|Assignment|None|VariableDeclarationStatement ),1,9
6415,( Assignment|SuperMethodInvocation|VariableDeclarationStatement|None|VariableDeclarationStatement ),0,2
6416,( None|SuperMethodInvocation|Assignment|None|VariableDeclarationStatement ),0,9
6417,( VariableDeclarationStatement|Assignment|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement ),0,1
6418,( None|Assignment|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement ),0,5
6419,( MethodInvocation|VariableDeclarationStatement|Assignment|None|ForStatement ),1,4
6420,( Assignment|MethodInvocation|ForStatement|VariableDeclarationStatement|None ),0,3
6421,( None|IfStatement|TryStatement|VariableDeclarationStatement|IfStatement ),5,17
6422,( VariableDeclarationStatement|Assignment|IfStatement|IfStatement|TryStatement ),0,2
6423,( IfStatement|VariableDeclarationStatement|TryStatement|Assignment|IfStatement ),0,1
6424,( None|VariableDeclarationStatement|IfStatement|Assignment|TryStatement ),0,5
6425,( TryStatement|IfStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),1,3
6426,( IfStatement|TryStatement|MethodInvocation|IfStatement|Assignment ),0,1
6427,( None|TryStatement|IfStatement|IfStatement|MethodInvocation ),0,5
6428,( MethodInvocation|IfStatement|Assignment|TryStatement|IfStatement ),0,1
6429,( None|IfStatement|MethodInvocation|TryStatement|Assignment ),0,1
6430,( Assignment|MethodInvocation|IfStatement|IfStatement|VariableDeclarationStatement ),0,2
6431,( IfStatement|Assignment|VariableDeclarationStatement|MethodInvocation|MethodInvocation ),1,5
6432,( MethodInvocation|VariableDeclarationStatement|Assignment|IfStatement|IfStatement ),3,8
6433,( IfStatement|MethodInvocation|IfStatement|Assignment|Assignment ),2,13
6434,( IfStatement|IfStatement|DoStatement|Assignment|Assignment ),1,1
6435,( DoStatement|IfStatement|Assignment|IfStatement|ReturnStatement ),2,1
6436,( IfStatement|Assignment|IfStatement|VariableDeclarationStatement|DoStatement ),0,1
6437,( None|IfStatement|IfStatement|Assignment|DoStatement ),0,1
6438,( None|IfStatement|DoStatement|IfStatement|Assignment ),0,1
6439,( IfStatement|IfStatement|Assignment|IfStatement|MethodInvocation ),2,12
6440,( Assignment|IfStatement|MethodInvocation|IfStatement|VariableDeclarationStatement ),0,1
6441,( MethodInvocation|Assignment|VariableDeclarationStatement|IfStatement|IfStatement ),2,10
6442,( None|Assignment|MethodInvocation|IfStatement|VariableDeclarationStatement ),2,22
6443,( VariableDeclarationStatement|MethodInvocation|IfStatement|Assignment|ReturnStatement ),1,5
6444,( Assignment|IfStatement|MethodInvocation|VariableDeclarationStatement|IfStatement ),5,9
6445,( MethodInvocation|Assignment|IfStatement|IfStatement|IfStatement ),0,2
6446,( IfStatement|IfStatement|Assignment|MethodInvocation|VariableDeclarationStatement ),0,1
6447,( IfStatement|IfStatement|Assignment|IfStatement|PostfixExpression ),0,1
6448,( Assignment|IfStatement|PostfixExpression|IfStatement|Assignment ),0,1
6449,( None|IfStatement|Assignment|IfStatement|PostfixExpression ),0,1
6450,( PostfixExpression|Assignment|Assignment|IfStatement|None ),0,3
6451,( None|Assignment|PostfixExpression|IfStatement|Assignment ),0,3
6452,( IfStatement|IfStatement|TryStatement|VariableDeclarationStatement|Assignment ),1,2
6453,( IfStatement|None|MethodInvocation|None|EmptyStatement ),0,1
6454,( MethodInvocation|IfStatement|EmptyStatement|None|IfStatement ),0,1
6455,( None|IfStatement|MethodInvocation|None|EmptyStatement ),0,1
6456,( EmptyStatement|MethodInvocation|IfStatement|IfStatement|Assignment ),0,1
6457,( None|MethodInvocation|EmptyStatement|IfStatement|IfStatement ),0,1
6458,( IfStatement|EmptyStatement|Assignment|MethodInvocation|Assignment ),0,1
6459,( None|EmptyStatement|IfStatement|MethodInvocation|Assignment ),0,1
6460,( Assignment|IfStatement|Assignment|EmptyStatement|Assignment ),0,1
6461,( None|IfStatement|Assignment|EmptyStatement|Assignment ),0,1
6462,( Assignment|Assignment|Assignment|IfStatement|SuperMethodInvocation ),0,1
6463,( Assignment|Assignment|SuperMethodInvocation|Assignment|IfStatement ),0,1
6464,( None|Assignment|Assignment|Assignment|SuperMethodInvocation ),0,2
6465,( SuperMethodInvocation|Assignment|IfStatement|Assignment|IfStatement ),0,1
6466,( None|Assignment|SuperMethodInvocation|Assignment|IfStatement ),0,1
6467,( IfStatement|SuperMethodInvocation|IfStatement|Assignment|None ),0,1
6468,( None|SuperMethodInvocation|IfStatement|Assignment|IfStatement ),0,1
6469,( IfStatement|VariableDeclarationStatement|IfStatement|None|TryStatement ),1,12
6470,( None|IfStatement|IfStatement|VariableDeclarationStatement|TryStatement ),2,49
6471,( TryStatement|IfStatement|Assignment|IfStatement|Assignment ),0,1
6472,( None|IfStatement|TryStatement|IfStatement|Assignment ),0,2
6473,( Assignment|TryStatement|Assignment|IfStatement|TryStatement ),0,1
6474,( None|TryStatement|Assignment|IfStatement|Assignment ),0,2
6475,( Assignment|Assignment|TryStatement|TryStatement|MethodInvocation ),0,1
6476,( None|Assignment|Assignment|TryStatement|TryStatement ),0,1
6477,( TryStatement|Assignment|MethodInvocation|Assignment|ReturnStatement ),0,1
6478,( None|Assignment|TryStatement|Assignment|MethodInvocation ),0,6
6479,( IfStatement|IfStatement|VariableDeclarationStatement|Assignment|IfStatement ),2,15
6480,( IfStatement|VariableDeclarationStatement|IfStatement|IfStatement|BreakStatement ),1,1
6481,( IfStatement|IfStatement|BreakStatement|VariableDeclarationStatement|None ),0,2
6482,( None|IfStatement|IfStatement|VariableDeclarationStatement|BreakStatement ),0,2
6483,( BreakStatement|IfStatement|None|IfStatement|None ),1,3
6484,( ForStatement|VariableDeclarationStatement|IfStatement|IfStatement|Assignment ),0,2
6485,( IfStatement|ForStatement|Assignment|VariableDeclarationStatement|ReturnStatement ),0,1
6486,( Assignment|IfStatement|ReturnStatement|ForStatement|None ),0,1
6487,( None|IfStatement|Assignment|ForStatement|ReturnStatement ),0,1
6488,( VariableDeclarationStatement|Assignment|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement ),1,18
6489,( Assignment|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation ),5,38
6490,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),13,33
6491,( VariableDeclarationStatement|IfStatement|Assignment|VariableDeclarationStatement|ForStatement ),2,2
6492,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|Assignment|MethodInvocation ),9,45
6493,( Assignment|None|VariableDeclarationStatement|None|WhileStatement ),5,8
6494,( VariableDeclarationStatement|Assignment|WhileStatement|None|None ),0,4
6495,( None|Assignment|VariableDeclarationStatement|None|WhileStatement ),1,8
